Time,Search Engine,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,Rank9,Rank10
2019-11-18 17:32,Naver,나이스지키미 신용등급계산기,정준,크리니크 프렌즈치크팝,김유지,200억 발패치 힐링패치,크리니크 치크팝,커먼유니크5억아울렛,나이스지키미,정준 김유지,뉴발란스 블랙프라이데이
2019-11-18 17:32,Daum,김유지,정준,유산슬,유시민,연애의 맛,고유정,이시아,1박 2일 시즌4,한다감,을지대학교
2019-11-18 17:33,Google,병무청,뉴발란스,임종석,나이스지키미 신용등급계산기,유산슬,야구 한일전,김세연,SBS,여우티 9900원,설리
2019-11-18 17:33,Naver,나이스지키미 신용등급계산기,정준,크리니크 프렌즈치크팝,김유지,200억 발패치 힐링패치,크리니크 치크팝,커먼유니크5억아울렛,나이스지키미,정준 김유지,뉴발란스 블랙프라이데이
2019-11-18 17:33,Daum,김유지,정준,유산슬,유시민,연애의 맛,이시아,고유정,1박 2일 시즌4,한다감,을지대학교
2019-11-18 17:34,Google,병무청,뉴발란스,임종석,나이스지키미 신용등급계산기,유산슬,야구 한일전,김세연,SBS,여우티 9900원,설리
2019-11-18 17:34,Naver,나이스지키미 신용등급계산기,정준,크리니크 프렌즈치크팝,김유지,200억 발패치 힐링패치,크리니크 치크팝,커먼유니크5억아울렛,나이스지키미,정준 김유지,뉴발란스 블랙프라이데이
2019-11-18 17:34,Daum,김유지,정준,유산슬,유시민,연애의 맛,이시아,고유정,한다감,1박 2일 시즌4,을지대학교
2019-11-18 17:35,Google,병무청,뉴발란스,임종석,나이스지키미 신용등급계산기,유산슬,야구 한일전,김세연,SBS,여우티 9900원,설리
2019-11-18 17:35,Naver,나이스지키미 신용등급계산기,크리니크 프렌즈치크팝,정준,김유지,크리니크 치크팝,200억 발패치 힐링패치,커먼유니크5억아울렛,나이스지키미,정준 김유지,뉴발란스 블랙프라이데이
2019-11-18 17:35,Daum,김유지,정준,유산슬,유시민,연애의 맛,고유정,이시아,한다감,1박 2일 시즌4,을지대학교
2019-11-18 17:36,Google,병무청,뉴발란스,임종석,나이스지키미 신용등급계산기,유산슬,야구 한일전,김세연,SBS,여우티 9900원,설리
